customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0000-GTOKH,Male,1,No,Yes,20,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,101.92,2014.82,No
0001-UGZSW,Male,0,Yes,No,10,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,85.22,867.46,No
0002-KKXUD,Male,0,No,Yes,34,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,No,Mailed check,122.88,4301.71,No
0003-HXCVU,Male,0,No,Yes,0,Yes,No,DSL,No,Yes,No,Yes,No,No,Two year,No,Bank transfer (automatic),83.79,,No
0004-BXLFB,Male,0,Yes,Yes,11,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,91.46,974.32,No
0005-UALZV,Female,0,No,No,22,Yes,Yes,DSL,No,No,No,No,No,Yes,Two year,Yes,Bank transfer (automatic),93.41,2138.56,No
0006-LYQJP,Male,1,No,No,21,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),55.77,1113.3,No
0007-OOSLW,Male,0,No,No,23,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),36.72,849.75,No
0008-TYCES,Male,1,No,Yes,5,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,Two year,No,Credit card (automatic),124.83,629.95,Yes
0009-GUIGR,Male,0,Yes,Yes,10,Yes,No,DSL,No,No,Yes,No,No,Yes,Two year,Yes,Electronic check,86.06,888.04,No
0010-DYNRZ,Male,0,No,No,67,No,No phone service,DSL,No,Yes,No,No,No,No,Two year,No,Credit card (automatic),63.03,4103.67,No
0011-IZUBT,Female,0,Yes,Yes,72,No,No phone service,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),96.54,7263.25,No
