tenure,MonthlyCharges,TotalCharges,avg_monthly_charges,charges_tenure_ratio,num_services,has_streaming,has_security_support,contract_risk,payment_risk,is_new_customer,gender_Male,SeniorCitizen_Yes,Partner_Yes,Dependents_Yes,PhoneService_Yes,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaperlessBilling_Yes,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,Churn
1,29.85,29.85,29.85,0.9675850891410048,2,0,1,3,3,1,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,0
34,56.95,1889.5,55.5735294117647,1.0066545360020795,4,0,1,2,2,0,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,0
2,53.85,108.15,54.075,0.9777576032682705,4,0,1,3,2,1,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,1
45,42.3,1840.75,40.90555555555556,1.0094127005170355,4,0,1,2,1,0,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,0
2,70.7,151.65,75.825,0.9202733485193622,2,0,0,3,3,1,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,1
8,99.65,820.5,102.5625,0.9622208811104406,6,1,0,3,3,0,False,False,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False,1
22,89.1,1949.4,88.60909090909091,0.994318758242873,5,1,1,3,1,0,True,False,False,True,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False,0
10,29.75,301.9,30.189999999999998,0.9538313562039116,2,0,1,3,2,0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0
28,104.8,3046.05,108.78750000000001,0.9545713309803028,7,1,1,3,3,0,False,False,True,False,True,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,True,False,True,False,1
62,56.15,3487.95,56.25725806451613,0.9806616994605557,4,0,1,2,1,0,True,False,False,True,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0
13,49.95,587.45,45.18846153846154,1.081438920809393,3,0,1,3,2,0,True,False,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0
16,18.95,326.8,20.425,0.8844807467911318,1,0,0,1,1,0,True,False,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,False,0
58,100.35,5681.1,97.95,1.0141485598787265,6,1,0,2,1,0,True,False,True,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False,False,True,False,False,0
49,103.7,5036.3,102.78163265306122,0.9992134190706546,7,1,1,3,1,0,True,False,False,False,True,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,False,1
25,105.5,2686.05,107.44200000000001,0.9728702901089983,7,1,1,3,3,0,True,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False,True,False,False,True,False,True,False,0
69,113.25,7895.15,114.42246376811593,0.9811781546053252,9,1,1,1,1,0,False,False,True,True,True,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,0
52,20.65,1022.95,19.672115384615385,0.9989301827991999,1,0,0,2,2,0,False,False,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,0
71,106.7,7382.25,103.97535211267606,1.016429074564787,7,1,1,1,1,0,True,False,False,True,True,False,True,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,False,0
10,55.2,528.35,52.835,1.0253552521593758,4,0,1,3,1,0,False,False,True,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,1
21,90.05,1862.9,88.70952380952382,1.0037953182228354,5,1,1,3,3,0,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,True,False,0
1,39.65,39.65,39.65,0.97539975399754,3,1,0,3,3,1,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,1
